                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7499,                 2.2792,                   1.57,                0.77915,                0.47859,                0.51518,                0.22854,                 1.8043,                 4.7722,                 1.7209,             0.00032867,             0.00032867,             0.00032867
                      2,                 1.6624,                 1.3675,                 1.5184,                0.33634,                0.34876,                0.24565,                0.08746,                 2.3224,                 9.8536,                 2.6249,             0.00066498,             0.00066498,             0.00066498
                      3,                  1.683,                 1.3172,                 1.5366,                0.01981,                0.34407,                0.00648,                0.00208,                 2.8234,                    inf,                 4.5958,              0.0009945,              0.0009945,              0.0009945
                      4,                 1.6839,                 1.3232,                 1.5571,                0.35874,                0.28293,                0.02905,                 0.0098,                 2.6601,                    inf,                 3.1262,              0.0013172,              0.0013172,              0.0013172
                      5,                  1.725,                 1.3744,                 1.5704,                0.39585,                0.09863,                0.02098,                0.00495,                 3.2775,                 10.107,                  4.496,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.7506,                 1.3542,                 1.5717,                0.11208,                0.36686,                0.07703,                  0.026,                 2.4661,                 19.033,                 2.6609,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.6559,                 1.2817,                 1.5178,                0.73186,                0.39244,                0.42679,                0.17136,                 2.0724,                 2.7876,                  2.029,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.6861,                 1.3034,                 1.5455,                0.64028,                0.44949,                0.45516,                 0.1728,                 2.2411,                 2.7683,                 2.1449,                0.00133,                0.00133,                0.00133
                      9,                 1.6768,                 1.2248,                 1.5285,                0.74253,                0.52301,                0.59336,                0.21565,                 2.0827,                 1.8707,                 2.0024,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.6348,                 1.2202,                 1.5077,                0.68977,                0.56179,                0.62396,                0.27704,                  1.983,                 1.4653,                 1.9312,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.6529,                 1.2316,                 1.5313,                  0.589,                0.59189,                0.59151,                 0.2535,                  1.965,                 1.2792,                 1.8488,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.5967,                 1.1608,                 1.4865,                0.66718,                 0.3462,                0.42905,                 0.1966,                 2.0342,                 1.8912,                 1.9616,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.5963,                 1.1384,                 1.4737,                0.62727,                0.69583,                0.64988,                 0.3022,                 1.8768,                  1.106,                 1.7867,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.5948,                 1.0956,                 1.4852,                0.80191,                0.65937,                0.73429,                 0.3316,                 1.8189,                 1.0851,                 1.7094,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.5493,                  1.092,                 1.4408,                  0.728,                0.64483,                0.71515,                0.30123,                 1.8954,                 1.2162,                 1.7821,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.5351,                 1.0636,                 1.4381,                0.76584,                0.71425,                0.76853,                0.34929,                 1.7418,                  1.076,                 1.6753,              0.0012168,              0.0012168,              0.0012168
                     17,                  1.545,                 1.0852,                 1.4539,                0.69181,                0.71698,                0.71623,                0.34134,                 1.7376,                 1.2213,                 1.6688,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.5062,                 1.0275,                 1.4277,                0.67523,                0.63261,                0.67608,                0.28185,                 1.8594,                 1.0217,                 1.7401,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.5316,                 1.0202,                  1.435,                0.73315,                0.77957,                0.79982,                0.35915,                 1.7648,                 1.1601,                 1.6509,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.4783,                0.99767,                 1.4048,                0.82524,                0.67525,                0.77226,                0.37229,                 1.7356,                0.93287,                  1.654,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.4772,                 1.0052,                 1.4176,                0.79284,                 0.7162,                0.77118,                 0.3643,                 1.7122,                 1.0465,                 1.6387,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.4679,                 1.0071,                 1.4092,                0.78722,                 0.6856,                0.75892,                0.35503,                 1.7543,                 1.0767,                 1.6829,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.4682,                0.98161,                 1.3967,                0.81897,                 0.6627,                0.74736,                0.35524,                 1.7236,                0.93225,                 1.6097,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.4468,                0.95979,                 1.3878,                0.83363,                 0.7528,                 0.8467,                0.37721,                 1.7998,                0.99378,                 1.6611,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.4158,                0.94367,                 1.3717,                0.70344,                0.76028,                 0.8312,                0.39576,                 1.7211,                0.91568,                 1.6226,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.4564,                0.91698,                 1.3714,                0.84483,                0.76244,                0.84118,                0.39517,                 1.6931,                0.89135,                 1.6188,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.4151,                0.90607,                 1.3678,                0.80028,                0.77218,                0.79058,                 0.3745,                 1.7336,                0.90497,                 1.6406,              0.0010612,              0.0010612,              0.0010612
                     28,                  1.393,                0.90736,                 1.3555,                0.83886,                0.75242,                0.81254,                0.38373,                 1.7353,                0.99199,                 1.6387,               0.001047,               0.001047,               0.001047
                     29,                 1.3849,                0.89488,                  1.341,                0.82441,                 0.7264,                0.78996,                0.39833,                  1.683,                0.93454,                 1.5952,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.4022,                0.89659,                  1.354,                0.79377,                0.76154,                0.80536,                 0.3984,                 1.6573,                0.88606,                  1.567,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.3715,                 0.8889,                 1.3319,                0.75777,                0.70816,                0.76171,                0.33637,                 1.7908,                0.91331,                 1.6322,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.3873,                0.90089,                 1.3316,                0.82223,                0.79829,                0.81792,                0.42263,                 1.6804,                0.82329,                 1.5862,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.3847,                0.86156,                 1.3441,                0.74744,                0.74124,                0.78163,                0.38446,                 1.6942,                0.87468,                 1.6193,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.3818,                 0.8699,                 1.3362,                0.75797,                0.74359,                0.79916,                0.37072,                 1.7194,                0.94506,                 1.6472,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.3629,                0.86413,                 1.3327,                0.86839,                0.81678,                0.86987,                0.42314,                 1.6625,                0.81966,                 1.5721,               0.000948,               0.000948,               0.000948
                     36,                 1.3396,                0.85015,                 1.3244,                0.84062,                0.78723,                0.85242,                0.43122,                 1.6605,                0.79264,                 1.6005,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.3019,                0.83846,                  1.311,                0.82573,                0.78707,                0.82392,                0.40702,                 1.6932,                0.83739,                 1.5989,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.3061,                0.82552,                 1.3145,                0.82717,                0.74947,                0.83567,                0.41314,                 1.7075,                0.81271,                 1.6298,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.3092,                0.80408,                 1.3003,                0.84415,                0.76921,                0.85612,                0.43327,                 1.6674,                0.77696,                 1.5733,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.2989,                0.78013,                 1.2715,                0.79009,                0.81562,                0.83736,                0.39092,                 1.7352,                0.81799,                 1.6212,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.3081,                0.78459,                 1.2856,                0.89094,                0.75666,                0.84933,                0.39687,                 1.7283,                0.81095,                 1.6147,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.3007,                0.79917,                 1.3077,                0.87297,                0.81353,                0.86615,                0.44043,                  1.657,                0.77983,                 1.5954,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.2809,                0.79212,                 1.2944,                0.85767,                0.83328,                0.87561,                0.42856,                 1.6741,                0.76802,                 1.5756,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.2499,                0.76849,                 1.2777,                0.89927,                0.79223,                0.86356,                0.41527,                 1.7099,                0.78055,                 1.6188,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.2463,                0.77172,                 1.2669,                0.87607,                0.80798,                0.87784,                0.43067,                 1.6683,                0.75758,                 1.5766,             0.00080653,             0.00080653,             0.00080653
